Rank,Team,G,W.L,TDs,PAT,X2PT,Def.Pts,FG,Saf,Pts,PPG
207,Crown (MN) (UMAC),10,2-8,25,16,0,0,2,0,172,17.2
210,Misericordia (Middle Atlantic),10,1-9,24,15,3,0,2,0,171,17.1
210,Fitchburg St. (MASCAC),10,5-5,25,13,1,0,2,0,171,17.1
212,Montclair St. (NJAC),10,4-6,23,17,1,0,3,1,168,16.8
213,North Park (CCIW),10,1-9,21,19,1,0,6,0,165,16.5
214,Sewanee (SAA),10,0-10,20,17,0,0,9,0,164,16.4
214,Augsburg (Minn. Intercol.),10,2-8,22,18,1,0,4,0,164,16.4
214,Westfield St. (MASCAC),10,2-8,21,14,5,0,4,1,164,16.4
217,Carleton (Minn. Intercol.),10,1-9,19,13,3,0,9,1,162,16.2
218,Wm. Paterson (NJAC),10,2-8,21,13,4,0,4,0,159,15.9
218,Muskingum (Ohio AC),10,4-6,20,18,0,0,7,0,159,15.9
220,Carroll (WI) (CCIW),10,1-9,21,20,0,0,4,0,158,15.8
221,Gallaudet (Eastern Collegiate Football Conference),10,2-8,23,8,5,0,0,0,156,15.6
221,Austin (SCAC),10,3-7,18,15,0,0,11,0,156,15.6
223,Whittier (SCIAC),9,0-9,17,15,0,0,7,0,138,15.3
224,Oberlin (North Coast),10,0-10,19,16,1,0,7,0,153,15.3
225,Maranatha Baptist (DIII Independent),9,2-7,17,14,0,0,6,1,136,15.1
226,Colby (NESCAC),8,3-5,12,8,0,0,13,0,119,14.9
227,"Geneva (Presidents AC)	10	3-7	20	20	0	0	2	1	148	14.8
227	Waynesburg (Presidents AC)",10,2-8,18,15,1,0,7,1,148,14.8
229,Dickinson (Centennial),10,1-9,17,17,0,0,7,0,140,14
230,Wis.-Eau Claire (WIAC),10,2-8,19,12,2,0,3,0,139,13.9
231,Bates (NESCAC),8,3-5,15,13,0,0,2,1,111,13.9
232,Lewis & Clark (Northwest),9,0-9,17,13,1,0,2,0,123,13.7
233,Williams (NESCAC),8,0-8,13,9,0,0,4,0,99,12.4
233,Bowdoin (NESCAC),8,0-8,12,9,0,0,6,0,99,12.4
235,Hamilton (NESCAC),8,3-5,11,8,0,0,7,0,95,11.9
236,Wilmington (OH) (Ohio AC),10,0-10,15,11,1,0,4,0,115,11.5
237,Earlham (HCAC),10,0-10,17,11,0,0,0,0,113,11.3
238,Grinnell (Midwest Conference),10,0-10,16,13,0,0,1,0,112,11.2
239,Finlandia (DIII Independent),8,1-7,12,7,1,0,1,1,86,10.8
240,Southern Va. (NJAC),10,2-8,14,10,1,0,3,0,105,10.5
241,TCNJ (NJAC),10,2-8,13,11,1,0,3,0,100,10
242,Martin Luther (UMAC),10,0-10,15,7,0,0,0,0,97,9.7
243,Greensboro (USA South),10,1-9,14,5,3,0,0,0,95,9.5
244,Anna Maria (Eastern Collegiate Football Conference),10,1-9,12,10,0,0,1,0,85,8.5
